context	split	fold	model	parameter	chosen_value	inner_component_scores_json	train_observations	test_observations	inner_grouping
full	union_component_leave_one_out	component-01	gmolai_esm2_pocket_tensor_S1	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":2.453579647202174},{""alpha"":0.1,""inner_rmse"":2.3012964114944126},{""alpha"":1.0,""inner_rmse"":2.0259686614051593},{""alpha"":10.0,""inner_rmse"":1.839623899701108},{""alpha"":100.0,""inner_rmse"":1.6955263396271834},{""alpha"":1000.0,""inner_rmse"":1.4836318309701124}]"	267	4	frozen_union_component
full	union_component_leave_one_out	component-01	ecfp_esm2_pocket_additive_S0	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":1.7455483491139205},{""alpha"":0.1,""inner_rmse"":1.6263277928246402},{""alpha"":1.0,""inner_rmse"":1.5171663975372807},{""alpha"":10.0,""inner_rmse"":1.5101018785172196},{""alpha"":100.0,""inner_rmse"":1.5090783554180258},{""alpha"":1000.0,""inner_rmse"":1.484534298382407}]"	267	4	frozen_union_component
full	union_component_leave_one_out	component-01	ecfp_esm2_pocket_tensor_S0	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":1.7397772071705044},{""alpha"":0.1,""inner_rmse"":1.6199138046496386},{""alpha"":1.0,""inner_rmse"":1.5134298168161178},{""alpha"":10.0,""inner_rmse"":1.5055425326143956},{""alpha"":100.0,""inner_rmse"":1.5039979664666807},{""alpha"":1000.0,""inner_rmse"":1.4806649603886894}]"	267	4	frozen_union_component
full	union_component_leave_one_out	component-01	ligand_ecfp_knn	knn_k	5	"[{""inner_rmse"":2.073572812503516,""k"":1},{""inner_rmse"":1.7224078894134225,""k"":3},{""inner_rmse"":1.573667432748602,""k"":5}]"	267	4	frozen_union_component
full	union_component_leave_one_out	component-01	ligand_gmolai_knn	knn_k	5	"[{""inner_rmse"":1.9746622423214244,""k"":1},{""inner_rmse"":1.7977614136546258,""k"":3},{""inner_rmse"":1.7335522166480537,""k"":5}]"	267	4	frozen_union_component
full	union_component_leave_one_out	component-01	sequence_identity_target_knn	knn_k	5	"[{""inner_rmse"":1.6872593814635926,""k"":1},{""inner_rmse"":1.6331577589991053,""k"":3},{""inner_rmse"":1.5702555925199329,""k"":5}]"	267	4	frozen_union_component
full	union_component_leave_one_out	component-01	esm2_cosine_target_knn	knn_k	5	"[{""inner_rmse"":2.144562071524827,""k"":1},{""inner_rmse"":1.619077417376258,""k"":3},{""inner_rmse"":1.5726452163590376,""k"":5}]"	267	4	frozen_union_component
full	union_component_leave_one_out	component-01	structure_global_usalign_target_knn_S1	knn_k	5	"[{""inner_rmse"":1.7921346534137135,""k"":1},{""inner_rmse"":1.528228930619333,""k"":3},{""inner_rmse"":1.505455888943864,""k"":5}]"	267	4	frozen_union_component
full	union_component_leave_one_out	component-01	structure_pocket_usalign_target_knn_S1	knn_k	5	"[{""inner_rmse"":1.9190803421456515,""k"":1},{""inner_rmse"":1.6753646440436247,""k"":3},{""inner_rmse"":1.5811335179905055,""k"":5}]"	267	4	frozen_union_component
full	union_component_leave_one_out	component-01	pocket_descriptor_target_knn_S1	knn_k	5	"[{""inner_rmse"":1.8585701539971948,""k"":1},{""inner_rmse"":1.597548275252378,""k"":3},{""inner_rmse"":1.5234810263405474,""k"":5}]"	267	4	frozen_union_component
full	union_component_leave_one_out	component-02	nuisance_ridge	ridge_alpha	100.0	"[{""alpha"":0.01,""inner_rmse"":1.4906419026674211},{""alpha"":0.1,""inner_rmse"":1.4897171194414327},{""alpha"":1.0,""inner_rmse"":1.480826676259199},{""alpha"":10.0,""inner_rmse"":1.4185813265226526},{""alpha"":100.0,""inner_rmse"":1.349536522672317},{""alpha"":1000.0,""inner_rmse"":1.4210497262591342}]"	269	2	frozen_union_component
full	union_component_leave_one_out	component-02	ligand_ecfp_ridge	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":1.5910768626637617},{""alpha"":0.1,""inner_rmse"":1.5910822561532632},{""alpha"":1.0,""inner_rmse"":1.5911121118551625},{""alpha"":10.0,""inner_rmse"":1.590027500025669},{""alpha"":100.0,""inner_rmse"":1.5709317433305303},{""alpha"":1000.0,""inner_rmse"":1.4953405086687042}]"	269	2	frozen_union_component
full	union_component_leave_one_out	component-02	ligand_gmolai_ridge	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":2.834147389156373},{""alpha"":0.1,""inner_rmse"":2.577916225160801},{""alpha"":1.0,""inner_rmse"":2.2131082172777123},{""alpha"":10.0,""inner_rmse"":1.9421455067362412},{""alpha"":100.0,""inner_rmse"":1.676193132973368},{""alpha"":1000.0,""inner_rmse"":1.4436774112195725}]"	269	2	frozen_union_component
full	union_component_leave_one_out	component-02	pocket_ridge_S0	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":4.205742242413644},{""alpha"":0.1,""inner_rmse"":3.2436926669469575},{""alpha"":1.0,""inner_rmse"":2.174698066463733},{""alpha"":10.0,""inner_rmse"":1.6255565988975182},{""alpha"":100.0,""inner_rmse"":1.406154278208191},{""alpha"":1000.0,""inner_rmse"":1.3735797184477487}]"	269	2	frozen_union_component
full	union_component_leave_one_out	component-02	pocket_ridge_S1	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":3.674012312061263},{""alpha"":0.1,""inner_rmse"":3.2514794084907956},{""alpha"":1.0,""inner_rmse"":2.3376142007970753},{""alpha"":10.0,""inner_rmse"":1.672020966923129},{""alpha"":100.0,""inner_rmse"":1.4109002226140528},{""alpha"":1000.0,""inner_rmse"":1.3733295227077325}]"	269	2	frozen_union_component
full	union_component_leave_one_out	component-02	sequence_esm2_ridge	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":8.288616614629126},{""alpha"":0.1,""inner_rmse"":7.53017496933885},{""alpha"":1.0,""inner_rmse"":5.043152640841321},{""alpha"":10.0,""inner_rmse"":2.9283001653817764},{""alpha"":100.0,""inner_rmse"":1.8985140332093768},{""alpha"":1000.0,""inner_rmse"":1.5982590027974488}]"	269	2	frozen_union_component
full	union_component_leave_one_out	component-02	ecfp_esm2_additive	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":1.5772815399292068},{""alpha"":0.1,""inner_rmse"":1.5765727093922053},{""alpha"":1.0,""inner_rmse"":1.5759185920595589},{""alpha"":10.0,""inner_rmse"":1.578228448174703},{""alpha"":100.0,""inner_rmse"":1.5740341232973496},{""alpha"":1000.0,""inner_rmse"":1.5208345778851353}]"	269	2	frozen_union_component
full	union_component_leave_one_out	component-02	gmolai_esm2_additive	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":3.0428132465320394},{""alpha"":0.1,""inner_rmse"":2.735109324299423},{""alpha"":1.0,""inner_rmse"":2.37654955682689},{""alpha"":10.0,""inner_rmse"":2.1461023717008074},{""alpha"":100.0,""inner_rmse"":1.8190762854911418},{""alpha"":1000.0,""inner_rmse"":1.5240070669259205}]"	269	2	frozen_union_component
full	union_component_leave_one_out	component-02	ecfp_pocket_additive_S1	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":1.5122497977771958},{""alpha"":0.1,""inner_rmse"":1.5120566346329034},{""alpha"":1.0,""inner_rmse"":1.5103821127254},{""alpha"":10.0,""inner_rmse"":1.5019800387349311},{""alpha"":100.0,""inner_rmse"":1.4787653773806626},{""alpha"":1000.0,""inner_rmse"":1.433306236714496}]"	269	2	frozen_union_component
full	union_component_leave_one_out	component-02	ecfp_pocket_tensor_S1	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":1.505037556912451},{""alpha"":0.1,""inner_rmse"":1.5049191606139678},{""alpha"":1.0,""inner_rmse"":1.5038449971390802},{""alpha"":10.0,""inner_rmse"":1.4971860254901552},{""alpha"":100.0,""inner_rmse"":1.4749013723652493},{""alpha"":1000.0,""inner_rmse"":1.4311722474404034}]"	269	2	frozen_union_component
full	union_component_leave_one_out	component-02	ecfp_esm2_pocket_additive_S1	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":1.5181771008219962},{""alpha"":0.1,""inner_rmse"":1.5181966473843298},{""alpha"":1.0,""inner_rmse"":1.518347175491486},{""alpha"":10.0,""inner_rmse"":1.5182327255615984},{""alpha"":100.0,""inner_rmse"":1.5111561462473593},{""alpha"":1000.0,""inner_rmse"":1.4744271310265498}]"	269	2	frozen_union_component
full	union_component_leave_one_out	component-02	ecfp_esm2_pocket_tensor_S1	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":1.514753153730069},{""alpha"":0.1,""inner_rmse"":1.5147676719395033},{""alpha"":1.0,""inner_rmse"":1.514876066455462},{""alpha"":10.0,""inner_rmse"":1.5146200123001923},{""alpha"":100.0,""inner_rmse"":1.5075960701051832},{""alpha"":1000.0,""inner_rmse"":1.4720386208293432}]"	269	2	frozen_union_component
full	union_component_leave_one_out	component-02	ecfp_esm2_permuted_pocket_tensor_S1	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":1.562542043544401},{""alpha"":0.1,""inner_rmse"":1.5625588846913083},{""alpha"":1.0,""inner_rmse"":1.562762860869469},{""alpha"":10.0,""inner_rmse"":1.564694251377392},{""alpha"":100.0,""inner_rmse"":1.5651403081339106},{""alpha"":1000.0,""inner_rmse"":1.5208136585921865}]"	269	2	frozen_union_component
full	union_component_leave_one_out	component-02	gmolai_esm2_pocket_additive_S1	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":2.954319517259642},{""alpha"":0.1,""inner_rmse"":2.653110452169489},{""alpha"":1.0,""inner_rmse"":2.2805691074120586},{""alpha"":10.0,""inner_rmse"":1.9673900858595073},{""alpha"":100.0,""inner_rmse"":1.7014935980194417},{""alpha"":1000.0,""inner_rmse"":1.4755685681800292}]"	269	2	frozen_union_component
full	union_component_leave_one_out	component-02	gmolai_esm2_pocket_tensor_S1	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":2.270844767344032},{""alpha"":0.1,""inner_rmse"":2.152092060038611},{""alpha"":1.0,""inner_rmse"":1.9798301675848775},{""alpha"":10.0,""inner_rmse"":1.856465239512311},{""alpha"":100.0,""inner_rmse"":1.6855117431071678},{""alpha"":1000.0,""inner_rmse"":1.4758349390683267}]"	269	2	frozen_union_component
full	union_component_leave_one_out	component-02	ecfp_esm2_pocket_additive_S0	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":1.8145091771358888},{""alpha"":0.1,""inner_rmse"":1.6777840333600895},{""alpha"":1.0,""inner_rmse"":1.5388600530059842},{""alpha"":10.0,""inner_rmse"":1.5207395388395244},{""alpha"":100.0,""inner_rmse"":1.5141843762599771},{""alpha"":1000.0,""inner_rmse"":1.477017957554296}]"	269	2	frozen_union_component
full	union_component_leave_one_out	component-02	ecfp_esm2_pocket_tensor_S0	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":1.7952969312798162},{""alpha"":0.1,""inner_rmse"":1.6621734528630892},{""alpha"":1.0,""inner_rmse"":1.5334319758605617},{""alpha"":10.0,""inner_rmse"":1.5167686180974864},{""alpha"":100.0,""inner_rmse"":1.5102923903036929},{""alpha"":1000.0,""inner_rmse"":1.4743793803462246}]"	269	2	frozen_union_component
full	union_component_leave_one_out	component-02	ligand_ecfp_knn	knn_k	5	"[{""inner_rmse"":2.187819635214007,""k"":1},{""inner_rmse"":1.8363799046195155,""k"":3},{""inner_rmse"":1.6708796171920046,""k"":5}]"	269	2	frozen_union_component
full	union_component_leave_one_out	component-02	ligand_gmolai_knn	knn_k	5	"[{""inner_rmse"":2.0009339961777624,""k"":1},{""inner_rmse"":1.7804644856942922,""k"":3},{""inner_rmse"":1.725481967680576,""k"":5}]"	269	2	frozen_union_component
full	union_component_leave_one_out	component-02	sequence_identity_target_knn	knn_k	5	"[{""inner_rmse"":1.6553370444270943,""k"":1},{""inner_rmse"":1.6343072702609984,""k"":3},{""inner_rmse"":1.5507516363452165,""k"":5}]"	269	2	frozen_union_component
full	union_component_leave_one_out	component-02	esm2_cosine_target_knn	knn_k	5	"[{""inner_rmse"":2.1543967310792054,""k"":1},{""inner_rmse"":1.6001566317310418,""k"":3},{""inner_rmse"":1.5645599968909483,""k"":5}]"	269	2	frozen_union_component
full	union_component_leave_one_out	component-02	structure_global_usalign_target_knn_S1	knn_k	5	"[{""inner_rmse"":1.7845201828428712,""k"":1},{""inner_rmse"":1.5575004472288854,""k"":3},{""inner_rmse"":1.548312593910949,""k"":5}]"	269	2	frozen_union_component
full	union_component_leave_one_out	component-02	structure_pocket_usalign_target_knn_S1	knn_k	5	"[{""inner_rmse"":1.9554547053764004,""k"":1},{""inner_rmse"":1.647579904365521,""k"":3},{""inner_rmse"":1.585789065641434,""k"":5}]"	269	2	frozen_union_component
full	union_component_leave_one_out	component-02	pocket_descriptor_target_knn_S1	knn_k	5	"[{""inner_rmse"":2.010368550596093,""k"":1},{""inner_rmse"":1.6292140825896142,""k"":3},{""inner_rmse"":1.550950263252551,""k"":5}]"	269	2	frozen_union_component
full	union_component_leave_one_out	component-03	nuisance_ridge	ridge_alpha	100.0	"[{""alpha"":0.01,""inner_rmse"":1.4473834979362679},{""alpha"":0.1,""inner_rmse"":1.4465492637156758},{""alpha"":1.0,""inner_rmse"":1.4386031336778327},{""alpha"":10.0,""inner_rmse"":1.3871752011079594},{""alpha"":100.0,""inner_rmse"":1.3537128577126725},{""alpha"":1000.0,""inner_rmse"":1.41654473440301}]"	265	6	frozen_union_component
full	union_component_leave_one_out	component-03	ligand_ecfp_ridge	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":1.594835485526005},{""alpha"":0.1,""inner_rmse"":1.5948543379571378},{""alpha"":1.0,""inner_rmse"":1.5949603443848248},{""alpha"":10.0,""inner_rmse"":1.5933061883878301},{""alpha"":100.0,""inner_rmse"":1.5702157036033852},{""alpha"":1000.0,""inner_rmse"":1.490687964745136}]"	265	6	frozen_union_component
full	union_component_leave_one_out	component-03	ligand_gmolai_ridge	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":2.735612171699624},{""alpha"":0.1,""inner_rmse"":2.569692587361454},{""alpha"":1.0,""inner_rmse"":2.2825165909635774},{""alpha"":10.0,""inner_rmse"":1.9654663294764887},{""alpha"":100.0,""inner_rmse"":1.673007715549598},{""alpha"":1000.0,""inner_rmse"":1.4593973008563703}]"	265	6	frozen_union_component
full	union_component_leave_one_out	component-03	pocket_ridge_S0	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":13.767874111291546},{""alpha"":0.1,""inner_rmse"":5.41146339783816},{""alpha"":1.0,""inner_rmse"":2.407597596478451},{""alpha"":10.0,""inner_rmse"":1.6790665788509704},{""alpha"":100.0,""inner_rmse"":1.4406633870259846},{""alpha"":1000.0,""inner_rmse"":1.378375508365922}]"	265	6	frozen_union_component
full	union_component_leave_one_out	component-03	pocket_ridge_S1	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":3.73569934712181},{""alpha"":0.1,""inner_rmse"":3.3474633407553966},{""alpha"":1.0,""inner_rmse"":2.346531972095885},{""alpha"":10.0,""inner_rmse"":1.6732645650182818},{""alpha"":100.0,""inner_rmse"":1.4622888989153315},{""alpha"":1000.0,""inner_rmse"":1.3807612628793386}]"	265	6	frozen_union_component
full	union_component_leave_one_out	component-03	sequence_esm2_ridge	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":6.820115717067543},{""alpha"":0.1,""inner_rmse"":6.036974279081827},{""alpha"":1.0,""inner_rmse"":3.8205188450833316},{""alpha"":10.0,""inner_rmse"":2.074141336357529},{""alpha"":100.0,""inner_rmse"":1.6604666966861206},{""alpha"":1000.0,""inner_rmse"":1.5330354533596935}]"	265	6	frozen_union_component
full	union_component_leave_one_out	component-03	ecfp_esm2_additive	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":1.5875527225052282},{""alpha"":0.1,""inner_rmse"":1.5871265780387713},{""alpha"":1.0,""inner_rmse"":1.586932247233287},{""alpha"":10.0,""inner_rmse"":1.587068594400144},{""alpha"":100.0,""inner_rmse"":1.5703956545849829},{""alpha"":1000.0,""inner_rmse"":1.5039637169143647}]"	265	6	frozen_union_component
full	union_component_leave_one_out	component-03	gmolai_esm2_additive	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":2.9946892769624425},{""alpha"":0.1,""inner_rmse"":2.6721222394440893},{""alpha"":1.0,""inner_rmse"":2.272678504253762},{""alpha"":10.0,""inner_rmse"":2.0009861028850726},{""alpha"":100.0,""inner_rmse"":1.7409437208596754},{""alpha"":1000.0,""inner_rmse"":1.5002154219707717}]"	265	6	frozen_union_component
full	union_component_leave_one_out	component-03	ecfp_pocket_additive_S1	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":1.5263122080985636},{""alpha"":0.1,""inner_rmse"":1.526162390765933},{""alpha"":1.0,""inner_rmse"":1.5248354584043182},{""alpha"":10.0,""inner_rmse"":1.5172701476486556},{""alpha"":100.0,""inner_rmse"":1.4919851269986013},{""alpha"":1000.0,""inner_rmse"":1.4367272380553202}]"	265	6	frozen_union_component
full	union_component_leave_one_out	component-03	ecfp_pocket_tensor_S1	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":1.5195804056697815},{""alpha"":0.1,""inner_rmse"":1.5194502493474629},{""alpha"":1.0,""inner_rmse"":1.5182679722774548},{""alpha"":10.0,""inner_rmse"":1.5109513342794674},{""alpha"":100.0,""inner_rmse"":1.4858639547698267},{""alpha"":1000.0,""inner_rmse"":1.4338660298174488}]"	265	6	frozen_union_component
full	union_component_leave_one_out	component-03	ecfp_esm2_pocket_additive_S1	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":1.5394511829121051},{""alpha"":0.1,""inner_rmse"":1.539476633252055},{""alpha"":1.0,""inner_rmse"":1.5395988817188007},{""alpha"":10.0,""inner_rmse"":1.5373349857627998},{""alpha"":100.0,""inner_rmse"":1.5186542472967126},{""alpha"":1000.0,""inner_rmse"":1.4642330452616972}]"	265	6	frozen_union_component
full	union_component_leave_one_out	component-03	ecfp_esm2_pocket_tensor_S1	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":1.5371251923012508},{""alpha"":0.1,""inner_rmse"":1.5371511609176989},{""alpha"":1.0,""inner_rmse"":1.537277960492159},{""alpha"":10.0,""inner_rmse"":1.5350241193455971},{""alpha"":100.0,""inner_rmse"":1.516339080175227},{""alpha"":1000.0,""inner_rmse"":1.4628876210726218}]"	265	6	frozen_union_component
full	union_component_leave_one_out	component-03	ecfp_esm2_permuted_pocket_tensor_S1	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":1.5756131291862188},{""alpha"":0.1,""inner_rmse"":1.5756244456048671},{""alpha"":1.0,""inner_rmse"":1.575678410691836},{""alpha"":10.0,""inner_rmse"":1.574203886215345},{""alpha"":100.0,""inner_rmse"":1.5591993573667553},{""alpha"":1000.0,""inner_rmse"":1.5013671301657339}]"	265	6	frozen_union_component
full	union_component_leave_one_out	component-03	gmolai_esm2_pocket_additive_S1	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":2.8468159218756472},{""alpha"":0.1,""inner_rmse"":2.6004346918699364},{""alpha"":1.0,""inner_rmse"":2.2665661598631894},{""alpha"":10.0,""inner_rmse"":1.9566498800724108},{""alpha"":100.0,""inner_rmse"":1.672482978934219},{""alpha"":1000.0,""inner_rmse"":1.4605459284229507}]"	265	6	frozen_union_component
full	union_component_leave_one_out	component-03	gmolai_esm2_pocket_tensor_S1	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":2.52902239479846},{""alpha"":0.1,""inner_rmse"":2.3738841797139703},{""alpha"":1.0,""inner_rmse"":2.0963185389534065},{""alpha"":10.0,""inner_rmse"":1.8907611960802764},{""alpha"":100.0,""inner_rmse"":1.661498591893458},{""alpha"":1000.0,""inner_rmse"":1.46211171511098}]"	265	6	frozen_union_component
full	union_component_leave_one_out	component-03	ecfp_esm2_pocket_additive_S0	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":1.8650056631383374},{""alpha"":0.1,""inner_rmse"":1.7199414910096769},{""alpha"":1.0,""inner_rmse"":1.5710691498965594},{""alpha"":10.0,""inner_rmse"":1.5436861100807033},{""alpha"":100.0,""inner_rmse"":1.5234464423347684},{""alpha"":1000.0,""inner_rmse"":1.467646260020958}]"	265	6	frozen_union_component
full	union_component_leave_one_out	component-03	ecfp_esm2_pocket_tensor_S0	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":1.8695267381287866},{""alpha"":0.1,""inner_rmse"":1.7208369781749608},{""alpha"":1.0,""inner_rmse"":1.5716887762745662},{""alpha"":10.0,""inner_rmse"":1.5418963955370375},{""alpha"":100.0,""inner_rmse"":1.5213011111709203},{""alpha"":1000.0,""inner_rmse"":1.4665361084280826}]"	265	6	frozen_union_component
