evaluation	view	fold_id	model	family	train_n	test_n	parameters_json	centring_means_sha256
absolute	S1	component-G3-FINAL-001	ecfp_esm2_descriptor_film	film	625	36	"{""parameter_count"": 1249, ""selected_epoch"": 123, ""validation_scores"": {""0.0001"": 4.599531625236059, ""0.001"": 4.599586217533772, ""0.01"": 4.600161966866597}, ""weight_decay"": 0.0001}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	gmolai_esm2_descriptor_additive_matched	additive	621	36	"{""alpha"": 100.0, ""dimensions"": 96, ""inner_RMSE"": {""0.1"": 3.666361480114894, ""1.0"": 3.1972470681698577, ""10.0"": 2.392913311046121, ""100.0"": 2.0127097979168864}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	gmolai_esm2_descriptor_bilinear	bilinear	621	36	"{""alpha"": 100.0, ""dimensions"": 1120, ""inner_RMSE"": {""0.1"": 4.065945114810031, ""1.0"": 3.252021715791114, ""10.0"": 2.3004211589697454, ""100.0"": 1.8438893903202938}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	esm_if1_only	ridge	625	36	"{""alpha"": 100.0, ""dimensions"": 1024, ""inner_RMSE"": {""0.1"": 1.9858141805774339, ""1.0"": 1.985795768842917, ""10.0"": 1.9856118622025805, ""100.0"": 1.9838068956815988}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	esm_if1_knn	knn	625	36	"{""inner_RMSE"": {""1"": 2.142955877982466, ""3"": 1.9224035488360431, ""5"": 1.8375031811352809, ""10"": 1.8392242615157115}, ""k"": 5}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	ecfp_esm_if1_additive_full	additive	625	36	"{""alpha"": 100.0, ""dimensions"": 3072, ""inner_RMSE"": {""0.1"": 2.3912670432872436, ""1.0"": 2.325540960744745, ""10.0"": 2.180046639188924, ""100.0"": 2.0230926896326675}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	ecfp_esm2_esm_if1_additive_full	additive	625	36	"{""alpha"": 100.0, ""dimensions"": 3712, ""inner_RMSE"": {""0.1"": 2.344286296017174, ""1.0"": 2.2663360941360864, ""10.0"": 2.117322593009962, ""100.0"": 1.9675648367032923}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	ecfp_esm2_esm_if1_additive_matched	additive	625	36	"{""alpha"": 100.0, ""dimensions"": 96, ""inner_RMSE"": {""0.1"": 5.262867825128303, ""1.0"": 4.685618262641876, ""10.0"": 3.3220057738755395, ""100.0"": 2.4367028861914712}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	ecfp_esm2_esm_if1_bilinear	bilinear	625	36	"{""alpha"": 100.0, ""dimensions"": 1120, ""inner_RMSE"": {""0.1"": 3.2303604951676945, ""1.0"": 2.8967764655495305, ""10.0"": 2.3494929896264956, ""100.0"": 2.147440690376465}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	ecfp_esm2_esm_if1_bilinear_permuted	bilinear	625	36	"{""alpha"": 100.0, ""dimensions"": 1120, ""inner_RMSE"": {""0.1"": 3.550196255616951, ""1.0"": 2.8813427243842495, ""10.0"": 2.264262531921888, ""100.0"": 2.08879575361285}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	ecfp_esm2_esm_if1_film	film	625	36	"{""parameter_count"": 1249, ""selected_epoch"": 1, ""validation_scores"": {""0.0001"": 7.730641784712614, ""0.001"": 7.730641792748649, ""0.01"": 7.730641935716622}, ""weight_decay"": 0.0001}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	gmolai_esm2_esm_if1_additive_matched	additive	621	36	"{""alpha"": 100.0, ""dimensions"": 96, ""inner_RMSE"": {""0.1"": 3.7943084526353354, ""1.0"": 3.3397415155714056, ""10.0"": 2.288371623613778, ""100.0"": 1.7981676287841935}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	gmolai_esm2_esm_if1_bilinear	bilinear	621	36	"{""alpha"": 100.0, ""dimensions"": 1120, ""inner_RMSE"": {""0.1"": 6.6247179475072, ""1.0"": 3.2294636149371145, ""10.0"": 2.499631461198808, ""100.0"": 2.069362897616041}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	gmolai_ridge	ridge	621	36	"{""alpha"": 100.0, ""dimensions"": 384, ""inner_RMSE"": {""0.1"": 3.7935773852174024, ""1.0"": 2.6559567428991016, ""10.0"": 1.9108172996984867, ""100.0"": 1.7507609907604866}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	global_mean	mean	651	10	"{""mean"": 6.342014357770108}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	target_training_mean	target_mean	651	10	"{""fallback_global_mean"": 6.342014357770108}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	ecfp_ridge	ridge	651	10	"{""alpha"": 100.0, ""dimensions"": 2048, ""inner_RMSE"": {""0.1"": 2.3021320689961304, ""1.0"": 2.198999595278752, ""10.0"": 2.0702436160956763, ""100.0"": 1.9595270054337022}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	esm2_sequence_ridge	ridge	651	10	"{""alpha"": 100.0, ""dimensions"": 640, ""inner_RMSE"": {""0.1"": 2.0937878201587585, ""1.0"": 2.0937403322322603, ""10.0"": 2.0933287398554077, ""100.0"": 2.0888270654506673}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	ecfp_esm2_additive_no_pocket	additive	651	10	"{""alpha"": 100.0, ""dimensions"": 2688, ""inner_RMSE"": {""0.1"": 2.2707877777966283, ""1.0"": 2.1639649548274846, ""10.0"": 2.017851342265179, ""100.0"": 1.9250983326074755}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	ecfp_knn	knn	651	10	"{""inner_RMSE"": {""1"": 2.358138377731744, ""3"": 2.157363016122957, ""5"": 2.1214892167825403, ""10"": 2.0484739736688}, ""k"": 10}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	esm2_sequence_knn	knn	651	10	"{""inner_RMSE"": {""1"": 2.3369941529485785, ""3"": 1.9307971988511052, ""5"": 1.8791850710329008, ""10"": 1.822328172291225}, ""k"": 10}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	global_structure_knn	knn	651	10	"{""inner_RMSE"": {""1"": 2.678634647790592, ""3"": 2.392067423309396, ""5"": 1.9483161614821758, ""10"": 1.7635632511796309}, ""k"": 10}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	pocket_structure_knn	knn	651	10	"{""inner_RMSE"": {""1"": 2.144696585674832, ""3"": 1.8154407804648145, ""5"": 1.7786835095548246, ""10"": 1.7049207036532674}, ""k"": 10}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	descriptor_only	ridge	651	10	"{""alpha"": 100.0, ""dimensions"": 116, ""inner_RMSE"": {""0.1"": 2.4044339370135916, ""1.0"": 2.402580640203736, ""10.0"": 2.3852847460574877, ""100.0"": 2.272853414891448}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	descriptor_knn	knn	651	10	"{""inner_RMSE"": {""1"": 2.094554085912619, ""3"": 2.0005360127423164, ""5"": 1.927447910587747, ""10"": 1.7952383507925234}, ""k"": 10}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	ecfp_descriptor_additive_full	additive	651	10	"{""alpha"": 100.0, ""dimensions"": 2164, ""inner_RMSE"": {""0.1"": 2.303776259513973, ""1.0"": 2.2121489676899713, ""10.0"": 2.095054170000461, ""100.0"": 1.9918873879691632}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	ecfp_esm2_descriptor_additive_full	additive	651	10	"{""alpha"": 100.0, ""dimensions"": 2804, ""inner_RMSE"": {""0.1"": 2.29763017169877, ""1.0"": 2.1848219485197826, ""10.0"": 2.032111002943658, ""100.0"": 1.9287956417295895}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	ecfp_esm2_descriptor_additive_matched	additive	651	10	"{""alpha"": 100.0, ""dimensions"": 96, ""inner_RMSE"": {""0.1"": 4.5530253613896985, ""1.0"": 3.6890719824830214, ""10.0"": 2.7843391625444864, ""100.0"": 2.2285141874814083}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	ecfp_esm2_descriptor_bilinear	bilinear	651	10	"{""alpha"": 100.0, ""dimensions"": 1120, ""inner_RMSE"": {""0.1"": 5.0190932679512485, ""1.0"": 4.120976170449476, ""10.0"": 3.0579756248130363, ""100.0"": 2.2746262622055156}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	ecfp_esm2_descriptor_bilinear_permuted	bilinear	651	10	"{""alpha"": 100.0, ""dimensions"": 1120, ""inner_RMSE"": {""0.1"": 4.020486729789091, ""1.0"": 3.5082312272022476, ""10.0"": 2.7805829970189135, ""100.0"": 2.284702415426701}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	ecfp_esm2_descriptor_film	film	651	10	"{""parameter_count"": 1249, ""selected_epoch"": 192, ""validation_scores"": {""0.0001"": 3.929310882154375, ""0.001"": 3.9302088477482386, ""0.01"": 3.938933956607288}, ""weight_decay"": 0.0001}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	gmolai_esm2_descriptor_additive_matched	additive	647	10	"{""alpha"": 100.0, ""dimensions"": 96, ""inner_RMSE"": {""0.1"": 4.30961905747594, ""1.0"": 2.9699399704343543, ""10.0"": 2.271344025529109, ""100.0"": 1.9656187082136172}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	gmolai_esm2_descriptor_bilinear	bilinear	647	10	"{""alpha"": 100.0, ""dimensions"": 1120, ""inner_RMSE"": {""0.1"": 4.36021265537247, ""1.0"": 3.1109653219841347, ""10.0"": 2.2019425953870795, ""100.0"": 1.9331625101647112}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	esm_if1_only	ridge	651	10	"{""alpha"": 100.0, ""dimensions"": 1024, ""inner_RMSE"": {""0.1"": 1.9046062538773871, ""1.0"": 1.9046039106990338, ""10.0"": 1.9045804444925394, ""100.0"": 1.9043424500623232}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	esm_if1_knn	knn	651	10	"{""inner_RMSE"": {""1"": 2.152594997452417, ""3"": 1.9315891663017517, ""5"": 1.9290001074585077, ""10"": 1.8120483823912026}, ""k"": 10}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	ecfp_esm_if1_additive_full	additive	651	10	"{""alpha"": 100.0, ""dimensions"": 3072, ""inner_RMSE"": {""0.1"": 2.218330981298123, ""1.0"": 2.1427684200765187, ""10.0"": 2.0245473738838755, ""100.0"": 1.9223409650056804}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	ecfp_esm2_esm_if1_additive_full	additive	651	10	"{""alpha"": 100.0, ""dimensions"": 3712, ""inner_RMSE"": {""0.1"": 2.259552357035993, ""1.0"": 2.172310085297904, ""10.0"": 2.0491052839405404, ""100.0"": 1.9520593003424493}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	ecfp_esm2_esm_if1_additive_matched	additive	651	10	"{""alpha"": 100.0, ""dimensions"": 96, ""inner_RMSE"": {""0.1"": 4.027317095017931, ""1.0"": 3.6420538151782758, ""10.0"": 2.8870688842055383, ""100.0"": 2.2168366659595122}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	ecfp_esm2_esm_if1_bilinear	bilinear	651	10	"{""alpha"": 100.0, ""dimensions"": 1120, ""inner_RMSE"": {""0.1"": 3.2082576093364805, ""1.0"": 2.867630897779366, ""10.0"": 2.346673760917337, ""100.0"": 2.0893005587931066}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	ecfp_esm2_esm_if1_bilinear_permuted	bilinear	651	10	"{""alpha"": 100.0, ""dimensions"": 1120, ""inner_RMSE"": {""0.1"": 3.5193755711008885, ""1.0"": 3.0555061819754807, ""10.0"": 2.444931756557916, ""100.0"": 2.0693360051444936}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	ecfp_esm2_esm_if1_film	film	651	10	"{""parameter_count"": 1249, ""selected_epoch"": 1, ""validation_scores"": {""0.0001"": 7.008598624307101, ""0.001"": 7.008599825379, ""0.01"": 7.00861182368362}, ""weight_decay"": 0.0001}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	gmolai_esm2_esm_if1_additive_matched	additive	647	10	"{""alpha"": 100.0, ""dimensions"": 96, ""inner_RMSE"": {""0.1"": 3.764810852902616, ""1.0"": 3.1906850752934544, ""10.0"": 2.3334375869458075, ""100.0"": 1.790679657278028}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	gmolai_esm2_esm_if1_bilinear	bilinear	647	10	"{""alpha"": 100.0, ""dimensions"": 1120, ""inner_RMSE"": {""0.1"": 6.358329971191706, ""1.0"": 3.4330771583942137, ""10.0"": 2.2933535586120386, ""100.0"": 1.8501102237170586}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-002	gmolai_ridge	ridge	647	10	"{""alpha"": 100.0, ""dimensions"": 384, ""inner_RMSE"": {""0.1"": 3.465196668394401, ""1.0"": 2.4815419897523, ""10.0"": 1.929178877495481, ""100.0"": 1.8158729327432481}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-003	global_mean	mean	652	9	"{""mean"": 6.382556803161349}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-003	target_training_mean	target_mean	652	9	"{""fallback_global_mean"": 6.382556803161349}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-003	ecfp_ridge	ridge	652	9	"{""alpha"": 100.0, ""dimensions"": 2048, ""inner_RMSE"": {""0.1"": 2.4283737633685476, ""1.0"": 2.3194975097718573, ""10.0"": 2.1706225932152523, ""100.0"": 2.0224621899281408}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-003	esm2_sequence_ridge	ridge	652	9	"{""alpha"": 100.0, ""dimensions"": 640, ""inner_RMSE"": {""0.1"": 2.0315258889292434, ""1.0"": 2.0314890967009793, ""10.0"": 2.031124434252165, ""100.0"": 2.0277726384465904}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-003	ecfp_esm2_additive_no_pocket	additive	652	9	"{""alpha"": 100.0, ""dimensions"": 2688, ""inner_RMSE"": {""0.1"": 2.3140121236685913, ""1.0"": 2.2011991883952353, ""10.0"": 2.0621560197969186, ""100.0"": 1.9497102997296956}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-003	ecfp_knn	knn	652	9	"{""inner_RMSE"": {""1"": 2.401604743270005, ""3"": 2.18931530628419, ""5"": 2.146563327401364, ""10"": 2.063370088974343}, ""k"": 10}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-003	esm2_sequence_knn	knn	652	9	"{""inner_RMSE"": {""1"": 2.3757374106851024, ""3"": 1.9989846815133476, ""5"": 1.919167950680271, ""10"": 1.8296716944854043}, ""k"": 10}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-003	global_structure_knn	knn	652	9	"{""inner_RMSE"": {""1"": 2.681010155404242, ""3"": 2.3024459622569156, ""5"": 1.9611551673809664, ""10"": 1.7887684582198866}, ""k"": 10}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-003	pocket_structure_knn	knn	652	9	"{""inner_RMSE"": {""1"": 1.9816337811548554, ""3"": 1.7055789879574483, ""5"": 1.6999233974617045, ""10"": 1.7517298459842963}, ""k"": 5}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-003	descriptor_only	ridge	652	9	"{""alpha"": 100.0, ""dimensions"": 116, ""inner_RMSE"": {""0.1"": 2.4905330992745336, ""1.0"": 2.4881583610925775, ""10.0"": 2.466056625909098, ""100.0"": 2.3245438304191333}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-003	descriptor_knn	knn	652	9	"{""inner_RMSE"": {""1"": 2.1669347321253567, ""3"": 2.0129364762604425, ""5"": 1.9075496845130377, ""10"": 1.8510066540047831}, ""k"": 10}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-003	ecfp_descriptor_additive_full	additive	652	9	"{""alpha"": 100.0, ""dimensions"": 2164, ""inner_RMSE"": {""0.1"": 2.4571810106541734, ""1.0"": 2.3511001325710157, ""10.0"": 2.2123126413420784, ""100.0"": 2.0705900775329162}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-003	ecfp_esm2_descriptor_additive_full	additive	652	9	"{""alpha"": 100.0, ""dimensions"": 2804, ""inner_RMSE"": {""0.1"": 2.3528295457314714, ""1.0"": 2.237497505183421, ""10.0"": 2.088778943387143, ""100.0"": 1.9631441009436688}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-003	ecfp_esm2_descriptor_additive_matched	additive	652	9	"{""alpha"": 100.0, ""dimensions"": 96, ""inner_RMSE"": {""0.1"": 4.046796965953774, ""1.0"": 3.3921383281293886, ""10.0"": 2.7609382709015358, ""100.0"": 2.2947904774083745}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-003	ecfp_esm2_descriptor_bilinear	bilinear	652	9	"{""alpha"": 100.0, ""dimensions"": 1120, ""inner_RMSE"": {""0.1"": 4.76997486223234, ""1.0"": 3.9902301634496444, ""10.0"": 2.959715658451718, ""100.0"": 2.3334787765852143}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-003	ecfp_esm2_descriptor_bilinear_permuted	bilinear	652	9	"{""alpha"": 100.0, ""dimensions"": 1120, ""inner_RMSE"": {""0.1"": 4.154540029421108, ""1.0"": 3.6745167073799734, ""10.0"": 2.964310108821455, ""100.0"": 2.4180563607402172}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-003	ecfp_esm2_descriptor_film	film	652	9	"{""parameter_count"": 1249, ""selected_epoch"": 168, ""validation_scores"": {""0.0001"": 3.7369515073164545, ""0.001"": 3.7368135753547524, ""0.01"": 3.7361512287799368}, ""weight_decay"": 0.01}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-003	gmolai_esm2_descriptor_additive_matched	additive	648	9	"{""alpha"": 100.0, ""dimensions"": 96, ""inner_RMSE"": {""0.1"": 3.3948880080820443, ""1.0"": 2.666449681745136, ""10.0"": 2.3420983570209484, ""100.0"": 2.0179389497740776}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
