dataset_id	resource	reviewed_release_or_snapshot	recommended_role	label_type	protein_structure_and_site	reported_scale	access_and_licence	key_caveat	decision	primary_source	accessed
DS-011	BindingDB	202608 download dated 2026-07-31	large quantitative affinity source	Kd Ki IC50 and other measurements with qualifiers	target sequences and some PDB links; site mapping required	3239327 measurements 1433271 compounds 11503 targets	direct curator data CC BY 4.0; imported data keep source terms	PDB occurrence is not exact assay-to-structure evidence	use 2D TSV/SDF with S0-S4 mapping	https://www.bindingdb.org/rwd/bind/chemsearch/marvin/Download.jsp	2026-08-20
DS-012	ChEMBL	36 July 2025	large activity/assay source	pChEMBL and raw normalized activities	targets and sequences; structure/site mapping required	large release; use exact filtered counts	CC BY-SA 3.0	assay heterogeneity patents target confidence and source overlap	use direct binding high-confidence views first	https://doi.org/10.6019/CHEMBL.database.36	2026-08-20
DS-013	Papyrus	Zenodo 7019874 pinned version to select	standardized alternate activity view	standardized continuous and categorical bioactivity	target identifiers/sequences; no native pocket mapping	release-specific	version-specific open deposit	aggregates overlapping parent databases so not independent observations	use to compare standardization not add counts	https://pmc.ncbi.nlm.nih.gov/articles/PMC9824924/	2026-08-20
DS-014	BioLiP2	paper snapshot and weekly service	site annotation/open structural supplement	imported/manual affinities	biologically filtered receptor-ligand sites	385160 protein chains 781684 interactions 50064 with affinity in paper snapshot	BSD curation code reported; data/source terms require manifest	affinity total overlaps MOAD PDBbind-CN BindingDB and manual sources	use binding residues/site provenance and source cross-check	https://doi.org/10.1093/nar/gkad630	2026-08-20
DS-015	Binding MOAD	2019 update	independent curation audit	quantitative and qualitative binding data	curated co-complexes	over 32000 complexes and 12098 with binding data in update	verify current access and terms	legacy service/access stability and overlap	use if current bulk access is reliable	https://pmc.ncbi.nlm.nih.gov/articles/PMC6589129/	2026-08-20
DS-016	ATOM3D LBA	Zenodo 4914718	preprocessing and baseline convenience	PDBbind-derived affinity	co-complex 3D with protein-identity splits	release-specific	code/source terms plus underlying PDBbind rights	convenience does not eliminate licence or ligand-pose information	use only for smoke tests/independent code checks	https://www.atom3d.ai/	2026-08-20
DS-017	MISATO	2024 release	optional receptor dynamics pretraining	PDBbind-derived affinity plus QM/MD	dynamic protein-ligand complexes	approximately 20000 systems	source/derivative terms must be audited	ligand trajectories violate strict path and PDBbind lineage remains	receptor-only exploratory branch at most	https://doi.org/10.1038/s43588-024-00627-2	2026-08-20
DS-018	Davis	canonical DTA version	narrow benchmark and within-target analysis	dissociation constants Kd	structures must be independently mapped	30056 pairs 442 proteins 68 compounds in common original matrix	verify original/mirror terms	dense kinase matrix narrow chemistry and repeated targets	compatibility baseline not headline	https://doi.org/10.1038/nbt.1990	2026-08-20
DS-019	KIBA	canonical DTA version	literature comparability	aggregated KIBA score	structures must be independently mapped	118254 pairs 229 targets 2111 drugs in common version	verify original/mirror terms	not thermodynamic affinity and kinase-focused	keep native-scale separate head only	https://doi.org/10.1021/ci400709d	2026-08-20
DS-020	Metz	canonical kinase collection	kinase baseline	pKd-like kinase affinity	structures must be independently mapped	36136 pairs 170 proteins 1470 molecules in CASTER-DTA view	verify original distribution terms	assay-specific narrow target family	separate benchmark only	https://pubmed.ncbi.nlm.nih.gov/21568220/	2026-08-20
DS-021	CASF-2016	official 2016 benchmark	legacy scoring/ranking comparability	binding constants	native co-complexes and pose/screening sets	285 high-quality complexes in 57 clusters	PDBbind benchmark terms	heavily represented in PDBbind model development and not external	run scoring/ranking only with CleanSplit context	https://doi.org/10.1021/acs.jcim.8b00545	2026-08-20
DS-022	CASP16 pharmaceutical affinity	Zenodo 16762332	locked/blinded external ranking	experimental affinity series	challenge target structures/sites	140 affinities across five systems in assessment	deposit terms apply	small number of systems and non-independent series	priority external benchmark	https://zenodo.org/records/16762332	2026-08-20
DS-023	BayesBind	current BigBind repository	hard external virtual screening	binders and putative/nonbinder background	novel pocket targets	benchmark-specific	MIT repository; component terms apply	small hard set and uncertainty in prevalence	use EF-B and nearest-neighbour comparison	https://pmc.ncbi.nlm.nih.gov/articles/PMC10980085/	2026-08-20
DS-024	LIT-PCBA	official archive version to pin	red-team diagnostic or independently rebuilt screening set	experimentally measured actives and confirmed inactives	reference target structures/sites	15 targets; paper reports 7844 actives and 407381 inactives	official access terms and version hashes required	2025 preprint audit reports 2491 train-validation inactive duplicates three query compounds crossing splits and extensive analogue redundancy	do not use unmodified as confirmatory evidence	https://arxiv.org/abs/2507.21404	2026-08-20
DS-025	DUD-E	official 102-target release	decoy-bias red-team diagnostic	actives and property-matched computational decoys	reference structures/sites	22886 clustered actives and 50 decoys per active	official dataset terms apply	designed for 3D value-added evaluation and contains exploitable analogue/decoy bias	never headline evidence	https://doi.org/10.1021/jm300687e	2026-08-20
DS-026	D3R and SAMPL	challenge-specific releases	blinded case studies	affinity/ranking and sometimes pose	challenge target structures	small target-specific series	challenge-specific terms	small and heterogeneous; prior challenge exposure varies	use selected untouched series with original protocol	https://drugdesigndata.org/	2026-08-20
DS-027	Merck FEP benchmark	common 264-ligand release	within-target ranking stress test	relative free energy/experimental series	target structures	264 ligands across eight targets in common benchmark	verify experimental and redistribution sources	not absolute multi-target affinity and now heavily reused	use only with overlap/pretraining audit	https://doi.org/10.1021/acs.jctc.5b00286	2026-08-20
DS-028	Novelty-Tiered Affinity Benchmark	2026 Zenodo 19665374	preliminary leakage/ligand novelty stress test	pChEMBL equality measurements	protein targets/sequences; sites require mapping	ChEMBL36 time split with five ligand similarity bins	CC BY-SA 3.0 derivative; MIT code	preprint not yet peer reviewed and controls ligand novelty more directly than pocket novelty	use as secondary current benchmark	https://doi.org/10.5281/zenodo.19665374	2026-08-20
DS-029	TDC BindingDB/Davis views	current API version to pin	DTA pipeline smoke tests	endpoint-specific DTA labels	sequences; structures/sites require mapping	view-specific	open toolkit; parent dataset terms apply	processed counts change by toolkit version and cold protein/drug are not necessarily pocket-cold	use only for baseline parity	https://tdcommons.ai/multi_pred_tasks/dti/	2026-08-20
DS-030	RCSB PDB / wwPDB archive	continuous archive with dated snapshots	experimental receptor structure source	no uniform affinity label	experimental macromolecular structures and bound-component annotations	release-dependent	PDB archive coordinate files and RCSB API data are CC0	deposition selection alternate assemblies obsolete entries and post-cutoff structures require explicit handling	primary experimental receptor source with date freeze	https://www.rcsb.org/docs/programmatic-access/file-download-services	2026-08-20
DS-031	AlphaFold Protein Structure Database	2025 database/current entry versions	predicted-receptor fallback and robustness	no experimental affinity label	predicted protein coordinates with pLDDT and PAE; no ligand-defined site	release-dependent; database spans proteome-scale predictions	CC BY 4.0	predictions omit ligands cofactors metals and waters; confidence and template-date leakage require audit	predicted-structure robustness only	https://alphafold.ebi.ac.uk/faq	2026-08-20
DS-032	APObind	PDBbind 2019-derived release	matched apo-holo conformation stress test	inherits PDBbind-linked labels	matched apo and holo receptor structures	15000-plus apo-holo pairs reported by project paper/release	public repository and hosted data; no clear repository licence observed	mapping quality missing residues and PDBbind derivative rights require record audit	conditional matched-conformation benchmark	https://github.com/devalab/Apobind	2026-08-20
DS-033	CrossDocked2020	v1.3	pocket and receptor pretraining; detector tests	pose/RMSD labels plus PDBbind-derived mixed pK fields	redocked and cross-docked receptor-pocket/ligand poses	52126979 files in full v1.3 archive	public download; PDBbind and component terms propagate	ligand poses violate strict path and pK field mixes endpoints; archive is extremely large	use receptor/pocket view only unless task is explicitly pose pretraining	https://github.com/gnina/models/blob/master/data/CrossDocked2020/README.md	2026-08-20
DS-034	scPDB	current accessible legacy service	binding-site annotation and pocket pretraining	no primary uniform affinity label	curated druggable binding sites from PDB	release-dependent	verify current download and reuse terms	legacy processing definition access continuity and overlap with PDB-derived resources	conditional site resource	https://drugdesign.unistra.fr/scPDB/	2026-08-20
DS-035	KLIFS	v3.2 updated 2026-08-05	kinase pocket alignment and family-specific evaluation	linked kinase bioactivities available	standardized 85-residue kinase pockets structures conformations and interaction fingerprints	326 kinases 6738 PDB structures and 4179 unique ligands on reviewed live page	public web/API; verify bulk-data licence and upstream PDB/ChEMBL terms	kinase-only and interaction fingerprints are ligand-conditioned annotations	use pocket definitions and conformational strata; isolate ligand-derived fields	https://klifs.net/	2026-08-20
DS-036	GPCRdb	current version to pin	GPCR structure/site normalization and state robustness	linked bioactivities rather than one uniform label	experimental/refined GPCR structures homology models generic numbering and ligand interactions	release-dependent	public download/API; source licences and citation requirements apply	family-specific refined models can encode post-deposition knowledge and ligand interactions are privileged for strict detection	use receptor structures generic positions and frozen state annotations	https://docs.gpcrdb.org/structures.html	2026-08-20
DS-037	PubChem BioAssay	continuous archive with pinned AID snapshots	high-throughput activity and confirmed-inactive source	binary outcomes concentrations and heterogeneous assay readouts	target records/sequences; receptor/site mapping required	very large contributor-deposited archive	free bulk/API access; contributor-specific licences can differ	assay heterogeneity counterscreens aggregation and target mapping make naive pooling unsafe	assay-specific pretraining or rebuilt screening benchmarks	https://pubchem.ncbi.nlm.nih.gov/docs/bioassays	2026-08-20
DS-038	IUPHAR/BPS Guide to PHARMACOLOGY	2026.2	manually curated quantitative pharmacology complement	affinity and potency interactions with provenance	target accessions; structures/sites require independent mapping	approximately 13500 ligands with quantitative interactions to 2365 protein accessions on reviewed download page	ODbL database and CC BY-SA 4.0 contents	selected curated pharmacology is narrower than screening databases and endpoints remain heterogeneous	high-quality external activity view after exact-source deduplication	https://www.guidetopharmacology.org/download.jsp	2026-08-20
DS-039	Drug Target Commons	2.0/last verifiable bulk release	alternate expert-curated bioactivity view	quantitative compound-target activities with assay annotation	target identifiers; structures/sites require mapping	about 6.5 million protein-target bioactivities reported for 2.0	CC BY-NC-SA 3.0 reported for research release	service currency availability and overlap with imported sources must be rechecked before dependency	conditional noncommercial audit source	https://pmc.ncbi.nlm.nih.gov/articles/PMC6146131/	2026-08-20
DS-040	Maximum Unbiased Validation (MUV)	canonical 17-set release	ligand-bias diagnostic	actives and inactives from PubChem BioAssay	no native receptor/site package; targets require mapping	17 target-specific virtual-screening sets	verify original files and PubChem contributor lineage	designed around ligand-space bias control not quantitative affinity or pocket novelty	secondary classifier diagnostic only	https://doi.org/10.1021/ci8002649	2026-08-20
DS-041	DEKOIS 2.0	canonical 81-target release / Zenodo mirror	decoy-bias and screening diagnostic	actives and designed decoys	target PDB structures plus docked poses in reviewed mirror	81 target sets across 11 target classes reported in review	mirror exposes files but no clear licence on reviewed record; verify original terms	designed decoys and supplied poses are not experimental affinities and can carry construction artifacts	diagnostic only; strip ligand coordinates for strict input	https://doi.org/10.5281/zenodo.8131256	2026-08-20
DS-042	PDBFlex	archive based on PDB through 2017-01-17	receptor-conformation diversity annotation	no affinity label	clusters same-protein PDB chains and local/global structural variation	legacy release-specific	free web/API; underlying PDB coordinate policy applies	stale archive 95-percent identity clustering and no native pocket mapping	optional conformation sampling/sensitivity resource	https://pdbflex.org/	2026-08-20
DS-043	OpenFE / Schrodinger public binding free-energy benchmark	v2.0 inputs and 2024 OpenFE snapshot	within-target ranking and target-mirroring stress test	experimental relative/series affinities with calculated references	prepared target structures and perturbation networks	multi-target medicinal-chemistry series; pin exact subset	public repositories; original experimental citations and file licences require lineage manifest	heavily reused for method selection and identified in 2026 preprint debate as target-mirroring risk	secondary leakage-aware series benchmark only	https://industrybenchmarks2024.readthedocs.io/en/latest/public/overview.html	2026-08-20
DS-044	SIFTS	weekly release aligned with PDB	residue-level PDB-UniProt and domain mapping	no affinity label	residue mappings and cross-references for PDB chains	release-dependent	public PDBe API/FTP; record EMBL-EBI and source terms	mapping is not proof that an assay construct and PDB chain are equivalent	required mapping input with version pin	https://www.ebi.ac.uk/pdbe/docs/sifts/	2026-08-20
DS-045	UniProtKB	current eight-week release to pin	target identity sequence and isoform normalization	no affinity label	canonical/isoform sequences and functional annotations; PDB links	proteome-scale	CC BY 4.0 for copyrightable database content	canonical sequence can differ from experimental construct and database updates can alter mappings	required target registry with accession versions	https://www.uniprot.org/help/downloads	2026-08-20
DS-046	CATH / Gene3D	CATH-Plus v4.4	protein-domain/fold stratification and OOD audit	no affinity label	experimental and predicted domain classifications	v4.4 reports 601493 classified PDB domains and 6573 superfamilies	CC BY 4.0	fold/superfamily novelty is coarser than binding-pocket novelty and cannot replace pocket similarity	supporting split strata and error analysis	https://www.cathdb.info/	2026-08-20
DS-047	iScore3.0 Gate-0/1 strict S0/S1 pilot	strict-v2 created 2026-08-20	bounded feasibility and leakage-control pilot	exact uncensored Kd converted to pKd	61 supervised RCSB structures in five exact-construct groups plus five label-quarantined historical site references; S0 query-holo and S1 historical transferred-site receptor views	61 measurements 66 structure records and 122 receptor-view feature rows	derived from RCSB PDB CC0 metadata/coordinates and BindingDB 202608; source terms and citations retained	not an external benchmark; only five independent components; holo privilege; structure-similarity edge unavailable; source-paper tables not independently re-extracted	use only for Gate-0/1 diagnostics and adapter/control validation	data/manifests/gate01-pilot-strict-v2.json	2026-08-20
