software_id	project	repository	reviewed_material	effective_input_or_function	ligand_3d_status	licence_observed	reproducibility_notes	reuse_decision	accessed
SW-030	PLINDER	https://github.com/plinder-org/plinder	README data API split and known-bug issue	structural interaction dataset with holo apo and predicted links	contains ligand poses but receptor-only views possible	GPL-2.0 software; curated/upstream data terms separate	current 2024-06/v2 affinity queries disabled due issue 94	use for structure/pocket pretraining not affinity labels	2026-08-20
SW-031	HiQBind workflow	https://github.com/THGLab/HiQBind	README preprocessing fix and gather paths	protein/ligand structure quality repair workflow	operates on ligand structures	MIT	one-day-scale multicore workflow reported; source-data terms propagate	quality curation reference outside strict ligand features	2026-08-20
SW-032	BioLiP2 curation	https://zhanggroup.org/BioLiP/	paper and linked curation-code statement	biological ligand/site filtering and annotation	co-complex source; receptor-only annotations exportable	BSD code reported by paper	data/source lineage must be retained and weekly version pinned	use site annotations and provenance cross-check	2026-08-20
SW-033	LIT-PCBA audit	https://github.com/sievestack/LIT-PCBA-audit	README duplicate/analogue audit and memorization baseline	reconstructs query identities and audits train validation query overlap	query structures are used only for benchmark audit	repository licence must be pinned	public reproducible analysis accompanies a 2025 preprint; independently rerun on pinned archive	use to red-team or rebuild LIT-PCBA-derived evaluation	2026-08-20
SW-034	APObind	https://github.com/devalab/Apobind	README get_apostruct.py apostruct_rmsds.py and rdkit_process.py	constructs matched apo/holo receptor data from PDBbind and measures mapped pocket deformation	construction and pocket-RMSD scripts explicitly load co-crystal ligand coordinates	no clear root licence found	hard-coded scratch paths BLAST binary/PDB database PyMOL ProDy RDKit and broad exception handling prevent turnkey reproduction; ligand distance defines the reference site	use released apo structures only after rights/mapping audit; reimplement strict evaluation mapping	2026-08-20
SW-035	CrossDocked2020 v1.3 assets	https://github.com/gnina/models/blob/master/data/CrossDocked2020/README.md	v1.3 archive changelog file schema type labels split naming caches and downsampling notes	receptor/ligand pose archive organized by pockets with RMSD pK and Vina fields	pervasive crystal UFF-minimized docked and CNN-optimized ligand coordinates	no clear root licence found for reviewed models/data repository	52-million-file archive; v1.3 regenerated about 60 percent; pK collapses Kd Ki IC50 and is pose-sign-adjusted in some labels	receptor/pocket-only extraction after component-rights audit	2026-08-20
SW-036	PDBe SIFTS	https://github.com/PDBeurope/SIFTS	README CLI workflow project layout configuration outputs dependencies and licence	structure-to-sequence matching residue/segment mapping DuckDB storage and mmCIF annotation	not applicable	Apache-2.0	requires MMseqs2 or BLASTP plus FASTA36; defaults include 90-percent identity candidate matching and versioned UniProt/taxonomy caches	adopt as pinned mapping implementation plus independent construct checks	2026-08-20
SW-037	PSG-BAR	https://github.com/diamondspark/PSG-BAR	commit 6540ab8; GraphProcessing.py and GraphModel.py	full-protein coordinate graph plus DeepChem 2D ligand graph	none in ligand core; raw protein xyz enter a standard GAT	no clear root licence found	paper states five neighbours while reviewed preprocessing uses k=3; raw xyz are not rigid-motion invariant; pinned file hashes in third_party/reviewed_sources.tsv	clean-room protocol comparator only	2026-08-20
SW-038	PLMCA	public repository not found	paper metadata abstract and targeted GitHub/title/author search	PLM/3D/physicochemical protein features plus ligand graph and assay conditions	unverified beyond published interface	not assessable	no public implementation located; absence is not proof of permanent unavailability	paper-level comparison and author contact	2026-08-20
SW-039	AttentionMGT-DTA	https://github.com/JK-Liu7/AttentionMGT-DTA	commit e94a28d; protein_process.py compound_process.py train_DTA.py	AlphaFold/PDB pocket graph plus ESM and 2D molecular graph	none detected in ligand preprocessing	no clear root licence found	ConvexHull loop returns the last box; test MSE drives scheduler and checkpoint selection; old pinned stack and conventional folds	clean-room baseline concepts only	2026-08-20
SW-040	BlendNet	https://github.com/Blue1993/BlendNet	commit 80961ef; README preprocessing notebooks training and testing code	pocket/protein sequence plus 2D compound graph at inference	PLIP complex-interaction labels and ligand structures used for teacher/preprocessing	no clear root licence found	Python 3.7-era stack; large data/checkpoints are Dropbox-hosted; random/new-protein/new-compound/blind splits isolate exact IDs rather than similarity components	privileged comparator only	2026-08-20
SW-041	AttentionSiteDTI	https://github.com/yazdanimehdi/AttentionSiteDTI	commit 18ccacb; human_data.py layers.py model_abiliation.py	ConvexHull-derived receptor-site graphs plus ligand graph	none detected in query ligand path	CC BY 4.0 file present	monolithic scripts hard-coded paths serialized datasets and random shuffling limit turnkey reproducibility	binary diagnostic or clean-room baseline	2026-08-20
SW-042	BindingSite-AugmentedDTA	https://github.com/yazdanimehdi/BindingSite-AugmentedDTA	commit af23b19; README and released Davis/KIBA mapping tables	binding-site augmentation data for DTA models	none claimed	CC BY 4.0 file present	repository contains five files and no complete executable pipeline despite paper availability statement	dataset/mapping reference only	2026-08-20
SW-043	PGraphDTA	https://github.com/Yijia-Xiao/PgraphDTA	README URL from preprint; repository access attempt	PLM and protein contact-map augmentation	no ligand coordinates claimed	not assessable	repository returned unavailable/private at cut-off; no revision could be pinned	paper-level surveillance only	2026-08-20
SW-044	MMPD-DTA	https://github.com/zhc-moushang/MMPD-DTA	commit 6992636; dataset.py model.py README	precomputed pocket-drug graph plus protein sequence and ligand graph	cross-molecular graph implies pose geometry	no clear root licence found	small repository omits complex-graph construction and relies on a large precomputed archive/checkpoint	conceptual non-strict comparator only	2026-08-20
SW-045	AlignNet	https://github.com/altriavin/AlignNet	commit c5528d8; graph_pyg.py graphmvp_extrator.py utils.py README	ESM2/GearNet pocket plus MolFormer/GraphMVP ligand and complex graph	reads ligand MOL2 conformer coordinates and constructs 5-Angstrom protein-ligand edges	MIT	large external features/checkpoints; toy data include complexes; ligand structure branch inherits GraphMVP 3D pretraining	privileged/non-strict comparator only	2026-08-20
SW-046	LigUnity	https://github.com/IDEA-XL/LigUnity	commit 8ae35ed; Uni-Mol datasets case-study preparation screening path	shared 3D pocket-ligand latent space and hierarchical affinity navigation	generates or reads ligand 3D conformers; ligand coordinates enter Uni-Mol data	Apache-2.0 code; data/weights terms separate	bundled LMDBs and receptor-ligand-defined pocket extraction require provenance audit	non-strict comparator only	2026-08-20
SW-047	CSCo-DTA	https://github.com/23AIBox/23AIBox-CSCo-DTA	commit ba1aa7f; README data_process.py models.py inference.py	protein contact-map and interaction-network graphs plus molecular graph	none claimed	no clear root licence found	depends on externally hosted Pconsc4 contact maps and transductive interaction networks; folds require independent leakage audit	adjacent structure-proxy baseline	2026-08-20
